"pairs","F.Model","R2","p.value","p.adjusted","sig"
"Fr/Fo vs Fo",1.5725,0.0615,0.1978,0.3594,""
"Fr/Fo vs Ca",2.5615,0.0647,0.0662,0.2196,""
"Fr/Fo vs Myr",0.4512,0.0192,0.718,0.7693,""
"Fr/Fo vs Hb/Fr",0.5509,0.0186,0.6487,0.7485,""
"Fr/Fo vs Fr/On",0.8213,0.0306,0.4806,0.6008,""
"Fo vs Ca",0.2694,0.0127,0.8497,0.8497,""
"Fo vs Myr",3.1549,0.3107,0.0732,0.2196,""
"Fo vs Hb/Fr",2.8458,0.1796,0.0654,0.2196,""
"Fo vs Fr/On",2.9442,0.2275,0.0647,0.2196,""
"Ca vs Myr",1.473,0.0686,0.2352,0.3594,""
"Ca vs Hb/Fr",3.9222,0.1311,0.014,0.21,""
"Ca vs Fr/On",2.2069,0.0876,0.1081,0.2702,""
"Myr vs Hb/Fr",0.9661,0.0745,0.3891,0.5306,""
"Myr vs Fr/On",1.4189,0.1362,0.2396,0.3594,""
"Hb/Fr vs Fr/On",1.6726,0.1003,0.1944,0.3594,""
